record_id,region_code,year,revision,published_at,status,earners,median_income
I0030-wrong_year,020001,2022,99,2024-06-15,final,2990,28500
I0124-wrong_year,050005,2022,99,2024-06-15,final,2792,41000
I0112-current,LEG-040023,2023,2,2024-06-15,final,1796,46500
I0182-wrong_year,070003,2022,99,2024-06-15,final,3606,50000
I0018-wrong_year,010019,2022,99,2024-06-15,final,1994,34000
I0140-superseded,050021,2023,1,2024-01-01,final,4120,999999
I0172-wrong_year,060023,2022,99,2024-06-15,final,2776,49000
I0021-wrong_year,010022,2022,99,2024-06-15,final,2243,31500
I0008-wrong_year,LEG-010009,2022,99,2024-06-15,final,1164,23000
I0110-not_final,040021,2023,8,2024-06-15,provisional,1630,38500
I0094-wrong_year,040005,2022,99,2024-06-15,final,0,47000
I0029-current,010030,2023,2,2024-06-15,final,2907,20000
I0204-current,070025,2023,2,2024-06-15,final,1432,51000
I0084-wrong_year,030025,2022,99,2024-06-15,final,3472,31500
I0071-current,030012,2023,2,2024-06-15,final,2393,37500
I0085-current,030026,2023,2,2024-06-15,final,3555,35500
I0176-wrong_year,LEG-060027,2022,99,2024-06-15,final,3108,50500
I0192-current,LEG-070013,2023,2,2024-06-15,final,4436,61000
I0087-wrong_year,030028,2022,99,2024-06-15,final,3721,29000
I0118-current,040029,2023,2,2024-06-15,final,2294,41500
i-990007,990007,2023,2,2024-06-15,final,0,20000
I0027-current,010028,2023,2,2024-06-15,final,2741,26500
I0196-superseded,070017,2023,1,2024-01-01,final,768,999999
I0060-current,030001,2023,2,2024-06-15,final,1480,37000
I0097-current,040008,2023,2,2024-06-15,final,551,44500
I0097-wrong_year,040008,2022,99,2024-06-15,final,551,44500
I0080-not_final,LEG-030021,2023,8,2024-06-15,provisional,3140,30000
I0186-current,070007,2023,2,2024-06-15,final,3938,51500
I0063-current,030004,2023,2,2024-06-15,final,1729,34500
I0156-superseded,060007,2023,1,2024-01-01,final,1448,999999
I0161-current,060012,2023,2,2024-06-15,final,1863,48500
I0030-after_cutoff,020001,2023,9,2024-07-01,final,2990,28500
i-880005,880005,2023,2,2024-06-15,final,0,20000
I0003-current,010004,2023,2,2024-06-15,final,749,32000
I0171-current,060022,2023,2,2024-06-15,final,2693,45000
I0160-superseded,LEG-060011,2023,1,2024-01-01,final,1780,999999
I0095-current,040006,2023,2,2024-06-15,final,4385,36500
I0157-wrong_year,060008,2022,99,2024-06-15,final,1531,47000
I0130-current,050011,2023,2,2024-06-15,final,3290,50500
I0044-superseded,020015,2023,1,2024-01-01,final,4152,999999
I0022-current,010023,2023,2,2024-06-15,final,2326,21000
I0152-superseded,LEG-060003,2023,1,2024-01-01,final,1116,999999
I0041-wrong_year,020012,2022,99,2024-06-15,final,3903,29000
I0176-current,LEG-060027,2023,2,2024-06-15,final,3108,50500
I0096-superseded,LEG-040007,2023,1,2024-01-01,final,4468,999999
I0130-wrong_year,050011,2022,99,2024-06-15,final,3290,50500
I0226-current,080017,2023,2,2024-06-15,final,3258,56500
I0204-superseded,070025,2023,1,2024-01-01,final,1432,999999
I0151-wrong_year,060002,2022,99,2024-06-15,final,1033,52000
I0079-wrong_year,030020,2022,99,2024-06-15,final,3057,40500
I0060-after_cutoff,030001,2023,9,2024-07-01,final,1480,37000
I0173-wrong_year,060024,2022,99,2024-06-15,final,2859,53000
I0104-superseded,LEG-040015,2023,1,2024-01-01,final,1132,999999
I0048-superseded,LEG-020019,2023,1,2024-01-01,final,4484,999999
I0103-wrong_year,040014,2022,99,2024-06-15,final,1049,39500
I0099-wrong_year,040010,2022,99,2024-06-15,final,717,38000
I0136-current,LEG-050017,2023,2,2024-06-15,final,3788,45500
I0107-wrong_year,040018,2022,99,2024-06-15,final,1381,41000
I0014-current,010015,2023,2,2024-06-15,final,1662,32500
I0057-wrong_year,020028,2022,99,2024-06-15,final,1231,35000
I0058-wrong_year,020029,2022,99,2024-06-15,final,1314,24500
I0171-wrong_year,060022,2022,99,2024-06-15,final,2693,45000
I0115-wrong_year,040026,2022,99,2024-06-15,final,2045,44000
I0210-wrong_year,080001,2022,99,2024-06-15,final,1930,65000
I0068-superseded,030009,2023,1,2024-01-01,final,2144,999999
I0092-superseded,040003,2023,1,2024-01-01,final,4136,999999
I0209-wrong_year,070030,2022,99,2024-06-15,final,1847,56500
I0098-current,040009,2023,2,2024-06-15,final,634,34000
I0048-current,LEG-020019,2023,2,2024-06-15,final,4484,28000
I0206-wrong_year,070027,2022,99,2024-06-15,final,1598,59000
I0193-wrong_year,070014,2022,99,2024-06-15,final,519,50500
I0036-current,020007,2023,2,2024-06-15,final,3488,38000
I0116-wrong_year,040027,2022,99,2024-06-15,final,2128,33500
I0105-wrong_year,040016,2022,99,2024-06-15,final,1215,47500
I0008-superseded,LEG-010009,2023,1,2024-01-01,final,1164,999999
I0085-wrong_year,030026,2022,99,2024-06-15,final,3555,35500
I0190-current,070011,2023,2,2024-06-15,final,4270,53000
I0237-wrong_year,080028,2022,99,2024-06-15,final,4171,57000
I0000-after_cutoff,LEG-010001,2023,9,2024-07-01,final,0,20000
I0040-wrong_year,LEG-020011,2022,99,2024-06-15,final,3820,25000
I0036-superseded,020007,2023,1,2024-01-01,final,3488,999999
I0196-current,070017,2023,2,2024-06-15,final,768,48000
I0179-wrong_year,060030,2022,99,2024-06-15,final,3357,48000
I0043-current,020014,2023,2,2024-06-15,final,4069,37000
I0023-wrong_year,010024,2022,99,2024-06-15,final,2409,25000
I0227-current,080018,2023,2,2024-06-15,final,3341,60500
I0117-current,040028,2023,2,2024-06-15,final,2211,37500
I0037-current,020008,2023,2,2024-06-15,final,3571,27500
I0146-current,050027,2023,2,2024-06-15,final,618,42000
I0104-wrong_year,LEG-040015,2022,99,2024-06-15,final,1132,43500
I0007-wrong_year,010008,2022,99,2024-06-15,final,1081,33500
I0195-wrong_year,070016,2022,99,2024-06-15,final,685,58500
I0112-wrong_year,LEG-040023,2022,99,2024-06-15,final,1796,46500
I0000-superseded,LEG-010001,2023,1,2024-01-01,final,0,999999
I0026-current,010027,2023,2,2024-06-15,final,2658,22500
I0004-current,010005,2023,2,2024-06-15,final,832,21500
I0158-wrong_year,060009,2022,99,2024-06-15,final,1614,51000
I0172-superseded,060023,2023,1,2024-01-01,final,2776,999999
I0002-current,010003,2023,2,2024-06-15,final,666,28000
I0010-not_final,010011,2023,8,2024-06-15,provisional,1330,31000
I0215-wrong_year,080006,2022,99,2024-06-15,final,2345,56000
I0047-wrong_year,020018,2022,99,2024-06-15,final,0,38500
I0200-after_cutoff,LEG-070021,2023,9,2024-07-01,final,1100,49500
I0134-wrong_year,050015,2022,99,2024-06-15,final,3622,52000
I0199-current,070020,2023,2,2024-06-15,final,1017,60000
I0135-wrong_year,050016,2022,99,2024-06-15,final,3705,41500
I0100-superseded,040011,2023,1,2024-01-01,final,800,999999
I0236-superseded,080027,2023,1,2024-01-01,final,4088,999999
I0216-current,LEG-080007,2023,2,2024-06-15,final,2428,60000
I0009-wrong_year,010010,2022,99,2024-06-15,final,1247,27000
I0140-wrong_year,050021,2022,99,2024-06-15,final,4120,47000
I0012-superseded,010013,2023,1,2024-01-01,final,1496,999999
I0060-not_final,030001,2023,8,2024-06-15,provisional,1480,37000
I0186-wrong_year,070007,2022,99,2024-06-15,final,3938,51500
I0070-wrong_year,030011,2022,99,2024-06-15,final,2310,33500
I0149-wrong_year,050030,2022,99,2024-06-15,final,867,39500
I0104-current,LEG-040015,2023,2,2024-06-15,final,1132,43500
I0164-wrong_year,060015,2022,99,2024-06-15,final,2112,46000
I0152-current,LEG-060003,2023,2,2024-06-15,final,1116,56000
I0086-current,030027,2023,2,2024-06-15,final,3638,39500
I0058-current,020029,2023,2,2024-06-15,final,1314,24500
I0150-after_cutoff,060001,2023,9,2024-07-01,final,950,48000
I0166-current,060017,2023,2,2024-06-15,final,2278,54000
I0164-current,060015,2023,2,2024-06-15,final,2112,46000
I0118-wrong_year,040029,2022,99,2024-06-15,final,2294,41500
I0203-wrong_year,070024,2022,99,2024-06-15,final,1349,47000
I0116-current,040027,2023,2,2024-06-15,final,2128,33500
I0043-wrong_year,020014,2022,99,2024-06-15,final,4069,37000
I0235-wrong_year,080026,2022,99,2024-06-15,final,0,63500
I0224-superseded,LEG-080015,2023,1,2024-01-01,final,3092,999999
I0206-current,070027,2023,2,2024-06-15,final,1598,59000
I0139-current,050020,2023,2,2024-06-15,final,4037,43000
I0121-wrong_year,050002,2022,99,2024-06-15,final,2543,43500
i-880004,880004,2023,2,2024-06-15,final,0,20000
I0231-current,080022,2023,2,2024-06-15,final,3673,62000
I0130-after_cutoff,050011,2023,9,2024-07-01,final,3290,50500
I0232-wrong_year,LEG-080023,2022,99,2024-06-15,final,3756,51500
I0125-wrong_year,050006,2022,99,2024-06-15,final,2875,45000
I0120-current,LEG-050001,2023,2,2024-06-15,final,2460,39500
I0090-wrong_year,040001,2022,99,2024-06-15,final,3970,45500
I0078-current,030019,2023,2,2024-06-15,final,2974,36500
I0239-current,080030,2023,2,2024-06-15,final,4337,65000
I0080-superseded,LEG-030021,2023,1,2024-01-01,final,3140,999999
I0035-wrong_year,020006,2022,99,2024-06-15,final,3405,34000
I0114-wrong_year,040025,2022,99,2024-06-15,final,1962,40000
I0180-not_final,070001,2023,8,2024-06-15,provisional,3440,56500
I0053-current,020024,2023,2,2024-06-15,final,899,33500
I0142-current,050023,2023,2,2024-06-15,final,4286,40500
I0002-wrong_year,010003,2022,99,2024-06-15,final,666,28000
I0092-current,040003,2023,2,2024-06-15,final,4136,39000
I0143-current,050024,2023,2,2024-06-15,final,4369,44500
I0059-wrong_year,020030,2022,99,2024-06-15,final,1397,28500
I0149-current,050030,2023,2,2024-06-15,final,867,39500
I0110-after_cutoff,040021,2023,9,2024-07-01,final,1630,38500
I0020-not_final,010021,2023,8,2024-06-15,provisional,2160,27500
I0132-current,050013,2023,2,2024-06-15,final,3456,44000
I0201-current,070022,2023,2,2024-06-15,final,1183,53500
I0069-current,030010,2023,2,2024-06-15,final,2227,29500
I0044-current,020015,2023,2,2024-06-15,final,4152,26500
I0214-wrong_year,080005,2022,99,2024-06-15,final,2262,52000
I0148-superseded,050029,2023,1,2024-01-01,final,784,999999
I0115-current,040026,2023,2,2024-06-15,final,2045,44000
I0082-current,030023,2023,2,2024-06-15,final,3306,38000
