record_id,region_code,year,revision,published_at,status,men,women,population
P0020-after_cutoff,010021,2023,9,2024-07-01,final,3940,4880,8820
P0096-current,LEG-040007,2023,2,2024-06-15,final,4312,8444,12756
P0182-wrong_year,070003,2022,99,2024-06-15,final,5654,6398,12052
P0160-not_final,LEG-060011,2023,8,2024-06-15,provisional,3520,3340,6860
P0150-not_final,060001,2023,8,2024-06-15,provisional,2550,8950,11500
P0085-current,030026,2023,2,2024-06-15,final,3245,6915,10160
P0085-wrong_year,030026,2022,99,2024-06-15,final,3245,6915,10160
P0075-wrong_year,030016,2022,99,2024-06-15,final,2275,5525,7800
P0019-current,010020,2023,2,2024-06-15,final,3843,4741,8584
P0200-superseded,LEG-070021,2023,1,2024-01-01,final,999999,8900,16300
P0212-wrong_year,080003,2022,99,2024-06-15,final,8564,3568,12132
P0060-not_final,030001,2023,8,2024-06-15,provisional,7820,3440,11260
P0210-not_final,080001,2023,8,2024-06-15,provisional,8370,3290,11660
P0007-wrong_year,010008,2022,99,2024-06-15,final,2679,3073,5752
P0012-current,010013,2023,2,2024-06-15,final,3164,3768,6932
P0060-wrong_year,030001,2022,99,2024-06-15,final,7820,3440,11260
P0078-current,030019,2023,2,2024-06-15,final,2566,5942,8508
P0078-wrong_year,030019,2022,99,2024-06-15,final,2566,5942,8508
P0079-current,030020,2023,2,2024-06-15,final,2663,6081,8744
P0186-wrong_year,070007,2022,99,2024-06-15,final,6042,6954,12996
P0208-current,LEG-070029,2023,2,2024-06-15,final,8176,3012,11188
P0217-wrong_year,080008,2022,99,2024-06-15,final,2049,4263,6312
P0143-current,050024,2023,2,2024-06-15,final,8871,7977,16848
P0190-after_cutoff,070011,2023,9,2024-07-01,final,6430,7510,13940
P0216-wrong_year,LEG-080007,2022,99,2024-06-15,final,8952,4124,13076
P0232-superseded,LEG-080023,2023,1,2024-01-01,final,999999,6348,9852
P0170-current,060021,2023,2,2024-06-15,final,4490,4730,9220
P0142-current,050023,2023,2,2024-06-15,final,8774,7838,16612
P0053-current,020024,2023,2,2024-06-15,final,7141,2467,9608
P0208-wrong_year,LEG-070029,2022,99,2024-06-15,final,8176,3012,11188
P0192-wrong_year,LEG-070013,2022,99,2024-06-15,final,6624,7788,14412
P0089-wrong_year,030030,2022,99,2024-06-15,final,3633,7471,11104
P0066-wrong_year,030007,2022,99,2024-06-15,final,8402,4274,12676
P0214-wrong_year,080005,2022,99,2024-06-15,final,8758,3846,12604
P0090-not_final,040001,2023,8,2024-06-15,provisional,3730,7610,11340
P0003-current,010004,2023,2,2024-06-15,final,2291,2517,4808
P0000-not_final,LEG-010001,2023,8,2024-06-15,provisional,2000,2100,4100
P0144-wrong_year,LEG-050025,2022,99,2024-06-15,final,8968,8116,17084
P0045-current,020016,2023,2,2024-06-15,final,?,8355,14720
p-990008,990008,2023,2,2024-06-15,final,?,2100,4100
P0106-wrong_year,040017,2022,99,2024-06-15,final,5282,2834,8116
P0205-wrong_year,070026,2022,99,2024-06-15,final,7885,2595,10480
P0148-wrong_year,050029,2022,99,2024-06-15,final,2356,8672,11028
P0051-current,020022,2023,2,2024-06-15,final,6947,2189,9136
P0145-wrong_year,050026,2022,99,2024-06-15,final,2065,8255,10320
P0061-wrong_year,030002,2022,99,2024-06-15,final,7917,3579,11496
P0221-current,080012,2023,2,2024-06-15,final,2437,4819,7256
P0036-wrong_year,020007,2022,99,2024-06-15,final,5492,7104,12596
P0014-wrong_year,010015,2022,99,2024-06-15,final,3358,4046,7404
P0056-current,LEG-020027,2023,2,2024-06-15,final,7432,2884,10316
P0019-wrong_year,010020,2022,99,2024-06-15,final,3843,4741,8584
P0148-superseded,050029,2023,1,2024-01-01,final,999999,8672,11028
P0174-current,060025,2023,2,2024-06-15,final,4878,5286,10164
P0144-current,LEG-050025,2023,2,2024-06-15,final,8968,8116,17084
P0143-wrong_year,050024,2022,99,2024-06-15,final,8871,7977,16848
P0146-current,050027,2023,2,2024-06-15,final,2162,8394,10556
P0176-wrong_year,LEG-060027,2022,99,2024-06-15,final,5072,5564,10636
P0034-wrong_year,020005,2022,99,2024-06-15,final,5298,6826,12124
P0055-current,020026,2023,2,2024-06-15,final,7335,2745,10080
P0024-current,LEG-010025,2023,2,2024-06-15,final,4328,5436,9764
P0022-wrong_year,010023,2022,99,2024-06-15,final,4134,5158,9292
P0022-current,010023,2023,2,2024-06-15,final,4134,5158,9292
P0140-wrong_year,050021,2022,99,2024-06-15,final,8580,7560,16140
P0052-wrong_year,020023,2022,99,2024-06-15,final,7044,2328,9372
P0168-wrong_year,LEG-060019,2022,99,2024-06-15,final,4296,4452,8748
P0064-wrong_year,LEG-030005,2022,99,2024-06-15,final,8208,3996,12204
P0092-superseded,040003,2023,1,2024-01-01,final,999999,7888,11812
P0079-wrong_year,030020,2022,99,2024-06-15,final,2663,6081,8744
P0003-wrong_year,010004,2022,99,2024-06-15,final,2291,2517,4808
P0030-wrong_year,020001,2022,99,2024-06-15,final,4910,6270,11180
P0032-current,LEG-020003,2023,2,2024-06-15,final,5104,6548,?
P0125-current,050006,2023,2,2024-06-15,final,7125,5475,12600
P0218-wrong_year,080009,2022,99,2024-06-15,final,2146,4402,6548
P0072-superseded,LEG-030013,2023,1,2024-01-01,final,999999,5108,14092
P0196-superseded,070017,2023,1,2024-01-01,final,999999,8344,15356
P0216-current,LEG-080007,2023,2,2024-06-15,final,8952,4124,13076
P0136-wrong_year,LEG-050017,2022,99,2024-06-15,final,8192,7004,15196
P0194-current,070015,2023,2,2024-06-15,final,6818,8066,14884
P0040-wrong_year,LEG-020011,2022,99,2024-06-15,final,5880,7660,13540
P0057-wrong_year,020028,2022,99,2024-06-15,final,7529,3023,10552
P0178-wrong_year,060029,2022,99,2024-06-15,final,5266,5842,11108
P0124-wrong_year,050005,2022,99,2024-06-15,final,7028,5336,12364
P0005-wrong_year,010006,2022,99,2024-06-15,final,2485,2795,5280
P0165-current,060016,2023,2,2024-06-15,final,?,4035,8040
P0172-wrong_year,060023,2022,99,2024-06-15,final,4684,5008,9692
P0200-wrong_year,LEG-070021,2022,99,2024-06-15,final,7400,8900,16300
P0138-current,050019,2023,2,2024-06-15,final,8386,7282,15668
P0120-not_final,LEG-050001,2023,8,2024-06-15,provisional,6640,4780,11420
P0151-wrong_year,060002,2022,99,2024-06-15,final,2647,9089,11736
P0223-wrong_year,080014,2022,99,2024-06-15,final,2631,5097,7728
P0172-superseded,060023,2023,1,2024-01-01,final,999999,5008,9692
P0113-wrong_year,040024,2022,99,2024-06-15,final,5961,3807,9768
P0176-current,LEG-060027,2023,2,2024-06-15,final,5072,5564,10636
P0134-wrong_year,050015,2022,99,2024-06-15,final,7998,6726,14724
P0009-wrong_year,010010,2022,99,2024-06-15,final,2873,3351,6224
P0191-current,070012,2023,2,2024-06-15,final,6527,7649,14176
P0224-wrong_year,LEG-080015,2022,99,2024-06-15,final,2728,5236,7964
P0164-wrong_year,060015,2022,99,2024-06-15,final,3908,3896,7804
P0100-after_cutoff,040011,2023,9,2024-07-01,final,4700,9000,13700
P0094-current,040005,2023,2,2024-06-15,final,4118,8166,12284
P0096-wrong_year,LEG-040007,2022,99,2024-06-15,final,4312,8444,12756
P0226-wrong_year,080017,2022,99,2024-06-15,final,2922,5514,8436
P0054-current,020025,2023,2,2024-06-15,final,7238,2606,9844
P0180-wrong_year,070001,2022,99,2024-06-15,final,5460,6120,11580
P0060-superseded,030001,2023,1,2024-01-01,final,999999,3440,11260
P0020-not_final,010021,2023,8,2024-06-15,provisional,3940,4880,8820
P0038-current,020009,2023,2,2024-06-15,final,5686,7382,13068
P0230-not_final,080021,2023,8,2024-06-15,provisional,3310,6070,9380
P0071-current,030012,2023,2,2024-06-15,final,8887,4969,13856
P0166-current,060017,2023,2,2024-06-15,final,4102,?,8276
P0102-wrong_year,040013,2022,99,2024-06-15,final,4894,2278,7172
P0098-wrong_year,040009,2022,99,2024-06-15,final,4506,8722,13228
P0092-current,040003,2023,2,2024-06-15,final,3924,7888,?
P0031-current,020002,2023,2,2024-06-15,final,5007,?,11416
P0192-superseded,LEG-070013,2023,1,2024-01-01,final,999999,7788,14412
P0188-current,070009,2023,2,2024-06-15,final,6236,7232,13468
P0032-wrong_year,LEG-020003,2022,99,2024-06-15,final,5104,6548,11652
P0141-current,050022,2023,2,2024-06-15,final,8677,7699,16376
P0126-wrong_year,050007,2022,99,2024-06-15,final,7222,5614,12836
p-990002,990002,2023,2,2024-06-15,final,?,2100,4100
P0042-wrong_year,020013,2022,99,2024-06-15,final,6074,7938,14012
P0039-current,020010,2023,2,2024-06-15,final,5783,7521,13304
P0117-current,040028,2023,2,2024-06-15,final,6349,4363,10712
P0200-current,LEG-070021,2023,2,2024-06-15,final,7400,8900,16300
P0204-current,070025,2023,2,2024-06-15,final,7788,2456,10244
P0151-current,060002,2023,2,2024-06-15,final,2647,?,11736
P0216-superseded,LEG-080007,2023,1,2024-01-01,final,999999,4124,13076
P0171-current,060022,2023,2,2024-06-15,final,4587,4869,9456
P0228-current,080019,2023,2,2024-06-15,final,3116,5792,8908
P0220-after_cutoff,080011,2023,9,2024-07-01,final,2340,4680,7020
P0107-wrong_year,040018,2022,99,2024-06-15,final,5379,2973,8352
P0020-current,010021,2023,2,2024-06-15,final,3940,4880,8820
P0112-current,LEG-040023,2023,2,2024-06-15,final,5864,3668,9532
P0134-current,050015,2023,2,2024-06-15,final,7998,6726,14724
P0140-current,050021,2023,2,2024-06-15,final,8580,7560,16140
P0220-superseded,080011,2023,1,2024-01-01,final,999999,4680,7020
P0026-current,010027,2023,2,2024-06-15,final,4522,5714,10236
P0184-current,LEG-070005,2023,2,2024-06-15,final,5848,6676,12524
P0226-current,080017,2023,2,2024-06-15,final,2922,?,8436
P0185-current,070006,2023,2,2024-06-15,final,5945,6815,12760
P0097-wrong_year,040008,2022,99,2024-06-15,final,4409,8583,12992
P0222-current,080013,2023,2,2024-06-15,final,2534,4958,7492
P0170-after_cutoff,060021,2023,9,2024-07-01,final,4490,4730,9220
P0131-wrong_year,050012,2022,99,2024-06-15,final,7707,6309,14016
P0062-wrong_year,030003,2022,99,2024-06-15,final,8014,3718,11732
P0068-wrong_year,030009,2022,99,2024-06-15,final,8596,4552,13148
P0120-wrong_year,LEG-050001,2022,99,2024-06-15,final,6640,4780,11420
P0120-superseded,LEG-050001,2023,1,2024-01-01,final,999999,4780,11420
P0074-wrong_year,030015,2022,99,2024-06-15,final,2178,5386,7564
P0202-current,070023,2023,2,2024-06-15,final,7594,2178,9772
P0233-current,080024,2023,2,2024-06-15,final,3601,6487,10088
P0122-wrong_year,050003,2022,99,2024-06-15,final,6834,5058,11892
P0033-current,020004,2023,2,2024-06-15,final,5201,6687,11888
P0112-wrong_year,LEG-040023,2022,99,2024-06-15,final,5864,3668,9532
P0130-after_cutoff,050011,2023,9,2024-07-01,final,7610,6170,13780
P0060-after_cutoff,030001,2023,9,2024-07-01,final,7820,3440,11260
P0135-current,050016,2023,2,2024-06-15,final,?,6865,14960
P0130-not_final,050011,2023,8,2024-06-15,provisional,7610,6170,13780
P0021-wrong_year,010022,2022,99,2024-06-15,final,4037,5019,9056
P0125-wrong_year,050006,2022,99,2024-06-15,final,7125,5475,12600
P0213-current,080004,2023,2,2024-06-15,final,8661,3707,12368
P0091-wrong_year,040002,2022,99,2024-06-15,final,3827,7749,11576
P0090-wrong_year,040001,2022,99,2024-06-15,final,3730,7610,11340
P0040-current,LEG-020011,2023,2,2024-06-15,final,5880,7660,13540
P0150-wrong_year,060001,2022,99,2024-06-15,final,2550,8950,11500
P0147-wrong_year,050028,2022,99,2024-06-15,final,2259,8533,10792
P0025-wrong_year,010026,2022,99,2024-06-15,final,4425,5575,10000
P0020-superseded,010021,2023,1,2024-01-01,final,999999,4880,8820
P0110-wrong_year,040021,2022,99,2024-06-15,final,5670,3390,9060
P0190-not_final,070011,2023,8,2024-06-15,provisional,6430,7510,13940
P0132-wrong_year,050013,2022,99,2024-06-15,final,7804,6448,14252
P0236-wrong_year,080027,2022,99,2024-06-15,final,3892,6904,10796
P0128-wrong_year,LEG-050009,2022,99,2024-06-15,final,7416,5892,13308
P0050-current,020021,2023,2,2024-06-15,final,6850,9050,15900
P0235-current,080026,2023,2,2024-06-15,final,3795,6765,10560
P0208-superseded,LEG-070029,2023,1,2024-01-01,final,999999,3012,11188
p-880004,880004,2023,2,2024-06-15,final,?,2100,4100
P0175-current,060026,2023,2,2024-06-15,final,4975,5425,10400
P0187-wrong_year,070008,2022,99,2024-06-15,final,6139,7093,13232
P0140-not_final,050021,2023,8,2024-06-15,provisional,8580,7560,16140
P0108-current,040019,2023,2,2024-06-15,final,5476,3112,8588
P0088-current,LEG-030029,2023,2,2024-06-15,final,3536,7332,10868
P0191-wrong_year,070012,2022,99,2024-06-15,final,6527,7649,14176
P0004-superseded,010005,2023,1,2024-01-01,final,999999,2656,5044
P0167-wrong_year,060018,2022,99,2024-06-15,final,4199,4313,8512
P0050-not_final,020021,2023,8,2024-06-15,provisional,6850,9050,15900
P0115-wrong_year,040026,2022,99,2024-06-15,final,6155,4085,10240
P0111-current,040022,2023,2,2024-06-15,final,5767,3529,9296
P0229-current,080020,2023,2,2024-06-15,final,3213,5931,9144
P0219-wrong_year,080010,2022,99,2024-06-15,final,2243,4541,6784
P0110-current,040021,2023,2,2024-06-15,final,5670,3390,9060
P0159-wrong_year,060010,2022,99,2024-06-15,final,3423,3201,6624
P0212-current,080003,2023,2,2024-06-15,final,8564,3568,?
P0041-current,020012,2023,2,2024-06-15,final,5977,7799,13776
P0184-wrong_year,LEG-070005,2022,99,2024-06-15,final,5848,6676,12524
P0160-after_cutoff,LEG-060011,2023,9,2024-07-01,final,3520,3340,6860
P0000-after_cutoff,LEG-010001,2023,9,2024-07-01,final,2000,2100,4100
P0043-current,020014,2023,2,2024-06-15,final,6171,8077,14248
P0223-current,080014,2023,2,2024-06-15,final,2631,5097,7728
P0028-superseded,010029,2023,1,2024-01-01,final,999999,5992,10708
